Round,F1,Precision,Recall,FP Rate,FN Rate,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.8379264452884084,0.987824340963473,0.7275274332674062,0.0033478930679591047,0.2724725667321421,0,0,0,0,0
2,0.8378650380793058,0.9879440752808508,0.727369937548803,0.0033138508940382784,0.27263006245074506,0,0,0,0,0
3,0.8375142438781173,0.9879752112676057,0.7268245050075349,0.003302709818936917,0.2731754949920122,0,0,0,0,0
4,0.837092018185397,0.9879737370957883,0.7261895485841134,0.0033002340244699477,0.2738104514154326,0,0,0,0,0
5,0.8342736072611496,0.9879069303202361,0.7219935310705896,0.0032996150758532053,0.27800646892894953,0,0,0,0,0
6,0.8378757155349853,0.9877261258179019,0.727504223372033,0.003375126807095766,0.2724957766275152,0,0,12,12,0
7,0.8385824328671816,0.9885015821858922,0.7281491268934716,0.0031622084829364145,0.27185087310607775,0,0,12,12,0
8,0.8342495958510893,0.9884889635752566,0.7216470404896624,0.003137450538266723,0.27835295950987604,0,0,12,12,0
9,0.8327199619981671,0.9886206205111379,0.7192912361092921,0.0030910293920110503,0.2807087638902425,0,0,12,12,0
10,0.8310616202377394,0.9886157856228279,0.7168226979513952,0.0030817451627599157,0.28317730204813535,0,0,12,12,0
11,0.8290564555567963,0.9885759677482305,0.7138650941409935,0.003079888316909689,0.28613490585853213,0,0,12,12,0
12,0.8277665930045749,0.988545910733605,0.7119701719687462,0.003079888316909689,0.28802982803077626,0,0,12,12,0
13,0.8256747871875154,0.9884992371353276,0.7089048079298266,0.0030792693682929464,0.29109519206969087,0,0,12,12,0
14,0.8238852440787279,0.9884571836920307,0.7062920368506824,0.0030792693682929464,0.29370796314883063,0,0,12,12,0
15,0.821802711632588,0.9884080190877402,0.7032614876548224,0.0030792693682929464,0.2967385123446856,0,0,12,12,0
16,0.8199460388206155,0.9883662729505321,0.7005674819418725,0.003078650419676204,0.2994325180576311,0,0,12,12,0
17,0.8207446101999246,0.9883852347238049,0.7017246610111888,0.003078650419676204,0.29827533898831665,0,0,12,12,0
18,0.8213970794856639,0.9884007005286612,0.7026712931724777,0.003078650419676204,0.2973287068270294,0,0,12,12,0
19,0.8218959423583002,0.9884125090854875,0.7033957734780526,0.003078650419676204,0.29660422652145574,0,0,12,12,0
20,0.8202081534865224,0.9883725007538939,0.7009471295161898,0.003078650419676204,0.29905287048331447,0,0,12,12,0
