F1 Score,Precision,Recall,FP Rate (%),FN Rate (%)
0.5841935318719227,0.45283571414235224,0.8228985512051739,37.122124132597904,17.710144879453257
0.7960581307636374,0.8162876709226382,0.7768070146935216,6.527060742994259,22.319298530610833
0.431297857487269,0.2764742163239177,0.980206932795748,95.76936241478113,1.979306720421924
0.5546685489476222,0.4021230092126366,0.8936903899428208,49.607741314108615,10.630961005700298
0.4339644493832917,0.281174515094161,0.9504236634830426,90.71397579781504,4.957633651687512
0.4870931707022523,0.33262830444392566,0.909395199862067,68.1193803333607,9.060480013778289
0.4310733752214617,0.27797010624887447,0.9596263869984798,93.06121463708686,4.0373613001453315
0.4753228338747408,0.3227552171845812,0.901434205749091,70.61807589914937,9.85657942507455
0.4766846246504864,0.32118466119938965,0.9240671694372098,72.91381821350824,7.593283056266434
0.4698083208007109,0.3172476556652239,0.9050234502835752,72.71668307907582,9.497654971626735
0.4328924630634,0.27950851781062636,0.959346210404333,92.32485146774854,4.065378959559965
0.4694415773104278,0.3162969044841047,0.9100881810239211,73.44555697015154,8.991181897592982
0.4629688995138233,0.3057610233118796,0.9529104379873042,80.77712712518745,4.708956201261774
0.48222018676798173,0.3313925878379259,0.8850231518706346,66.66417024053789,11.49768481291747
0.47778381998786423,0.31992729743044107,0.9431440455842345,74.84995138153982,5.685595441567123
0.47952470187090357,0.32770586436062665,0.8934317653943775,68.4299068543803,10.656823460544576
0.4675873192781421,0.310249483191316,0.9487094469247718,78.74511881642248,5.129055307514322
0.48170888014955515,0.3296580710190754,0.8941031945105282,67.87811416255455,10.589680548929627
0.47189857179152905,0.3151176574314451,0.9391602328284075,76.2065629597156,6.083976717149155
0.48832916426026984,0.33605617896907475,0.8929327526438557,65.86393157395175,10.706724735596673
